Id,Domain,Start Time,Stop Time,Difference,Total Time,Max Time
192,FRANCE_9,06:38:42.34,06:40:47.09,00:02:05,,
193,FRANCE_9,06:40:47.68,06:55:29.23,00:14:42,,
194,FRANCE_0,06:55:31.98,06:56:58.40,00:01:26,00:26:07,00:14:58
195,FRANCE_0,06:56:58.78,07:05:01.81,00:08:03,,
196,FRANCE_0,07:05:02.14,07:06:41.69,00:01:40,,
197,FRANCE_0,07:06:42.02,07:21:39.63,00:14:58,,
198,GERMANY_1,07:21:42.23,07:23:58.74,00:02:17,00:23:30,00:11:52
199,GERMANY_1,07:23:59.11,07:31:39.38,00:07:40,,
200,GERMANY_1,07:31:39.82,07:33:20.46,00:01:41,,
201,GERMANY_1,07:33:21.01,07:45:13.23,00:11:52,,
202,GERMANY_2,07:45:15.82,07:48:02.76,00:02:47,00:25:51,00:13:56
203,GERMANY_2,07:48:03.35,07:55:16.20,00:07:13,,
204,GERMANY_2,07:55:16.61,07:57:11.62,00:01:55,,
205,GERMANY_2,07:57:12.16,08:11:08.48,00:13:56,,
206,GERMANY_3,08:11:11.14,08:14:10.44,00:02:59,00:25:00,00:12:31
207,GERMANY_3,08:14:11.03,08:21:55.79,00:07:45,,
208,GERMANY_3,08:21:56.46,08:23:41.49,00:01:45,,
209,GERMANY_3,08:23:42.18,08:36:12.76,00:12:31,,
210,GERMANY_4,08:36:15.49,08:38:30.83,00:02:15,00:25:27,00:12:03
211,GERMANY_4,08:38:31.39,08:45:46.89,00:07:16,,
212,GERMANY_4,08:45:47.60,08:49:40.24,00:03:53,,
213,GERMANY_4,08:49:40.65,09:01:44.02,00:12:03,,
214,GERMANY_5,09:01:46.69,09:03:25.29,00:01:39,00:23:34,00:12:23
215,GERMANY_5,09:03:25.86,09:11:22.25,00:07:56,,
216,GERMANY_5,09:11:22.77,09:12:58.75,00:01:36,,
217,GERMANY_5,09:12:59.11,09:25:22.56,00:12:23,,
218,GERMANY_6,09:25:25.39,09:28:03.16,00:02:38,00:31:23,00:14:26
219,GERMANY_6,09:28:03.82,09:35:49.90,00:07:46,,
220,GERMANY_6,09:35:50.64,09:42:23.91,00:06:33,,
221,GERMANY_6,09:42:24.40,09:56:50.26,00:14:26,,
222,GERMANY_7,09:56:53.06,09:58:28.63,00:01:36,00:26:27,00:14:55
223,GERMANY_7,09:58:29.22,10:06:45.96,00:08:17,,
224,GERMANY_7,10:06:46.35,10:08:25.76,00:01:39,,
225,GERMANY_7,10:08:26.47,10:23:21.35,00:14:55,,
226,GERMANY_8,10:23:23.85,10:24:53.75,00:01:30,00:25:48,00:14:41
227,GERMANY_8,10:24:54.07,10:32:46.66,00:07:53,,
228,GERMANY_8,10:32:47.05,10:34:31.47,00:01:44,,
229,GERMANY_8,10:34:32.06,10:49:12.82,00:14:41,,
230,GERMANY_9,10:49:15.60,10:50:46.78,00:01:31,00:27:14,00:14:39
231,GERMANY_9,10:50:47.12,11:00:01.90,00:09:15,,
232,GERMANY_9,11:00:02.15,11:01:50.99,00:01:49,,
233,GERMANY_9,11:01:51.24,11:16:30.28,00:14:39,,
