Target Domain,MSE,fit LOOCV,Avg MSE,STD MSE,Avg MSE,STD MSE
GERMANY_9,0.257595211850246,0.007284160994459,,,,
GERMANY_0,0.059037884574639,0.063992629002314,,,,
GREECE_1,0.046570340084746,0.017763977986761,0.054487015105149,0.005162117153132,,
GREECE_2,0.043843837523821,0.006726038991474,,,,
GREECE_3,0.0524769210036,0.006928172020707,,,,
GREECE_4,0.034667866471811,0.006870047014672,,,,
GREECE_5,0.025922436617307,0.020183130982332,,,,
GREECE_6,0.10796136229925,0.006444941041991,,,,
GREECE_7,0.044108121940213,0.006310152006336,,,,
GREECE_8,0.087651464905121,0.006757308030501,,,,
GREECE_9,0.058738821151548,0.010509432991967,,,,
GREECE_0,0.042928979054073,0.006648539041635,,,,
IRELAND_1,0.011566603015388,0.006399075966328,0.007979741709092,0.002240985309716,,
IRELAND_2,0.005567324570495,0.006418981996831,,,,
IRELAND_3,0.006021156672712,0.00714111601701,,,,
IRELAND_4,0.010779271689102,0.009166692034341,,,,
IRELAND_5,0.012164919514165,0.006302304042038,,,,
IRELAND_6,0.011730458778305,0.006122109014541,,,,
IRELAND_7,0.005283100851609,0.006486893980764,,,,
IRELAND_8,0.005348168837101,0.013084456964862,,,,
IRELAND_9,0.005976654042274,0.00934218900511,,,,
IRELAND_0,0.005359759119767,0.009300369012635,,,,
ITALY_1,0.038806516576882,0.006953465985134,0.047124749130784,0.006172369005854,,
ITALY_2,0.019138669237074,0.006519399990793,,,,
ITALY_3,0.052474485148844,0.026368455030024,,,,
ITALY_4,0.013492078794455,0.00752809504047,,,,
ITALY_5,0.086694994379523,0.007224717002828,,,,
ITALY_6,0.01257745616003,0.006557467975654,,,,
ITALY_7,0.058990121017944,0.007000103010796,,,,
ITALY_8,0.06864001758515,0.011195819999557,,,,
ITALY_9,0.097718641970932,0.006983449973632,,,,
ITALY_0,0.022714510437008,0.006281698006205,,,,
JAPAN_1,0.00504082261357,0.007160748995375,0.006002593695118,0.001529630448253,,
JAPAN_2,0.008943469619198,0.011375917005353,,,,
JAPAN_3,0.003610568264876,0.006647838978097,,,,
JAPAN_4,0.005772086750589,0.006564153998625,,,,
JAPAN_5,0.006350279609492,0.00661401101388,,,,
JAPAN_6,0.005847495031644,0.006710438989103,,,,
JAPAN_7,0.006699733825742,0.008692930976395,,,,
JAPAN_8,0.005479546578504,0.00660246895859,,,,
