Target Domain,MSE,LOOCV KRR,Avg MSE,STD MSE,Avg MSE,STD MSE
DENMARK_2,0.047526673952698,0.818269841955043,,,,
DENMARK_3,0.040273001278111,0.833425321965478,,,,
DENMARK_4,0.056855695627386,0.781934001017362,,,,
DENMARK_5,0.044899628988042,1.15909627097426,,,,
DENMARK_6,0.052095665378923,0.775758190022316,,,,
DENMARK_7,0.055034614402343,1.00034497701563,,,,
DENMARK_8,0.043789836653798,0.857391703990288,,,,
DENMARK_9,0.039727300595862,0.794976080011111,,,,
DENMARK_0,0.046673590428901,0.77333133504726,,,,
FRANCE_1,0.023782799683706,0.843374715012032,0.022703910707118,0.002689021280021,,
FRANCE_2,0.022070249683527,0.770273932022974,,,,
FRANCE_3,0.02453773163788,0.756618446030188,,,,
FRANCE_4,0.019369206902328,0.79350854200311,,,,
FRANCE_5,0.024560469698932,0.781896658008918,,,,
FRANCE_6,0.022017649943382,0.875343151972629,,,,
FRANCE_7,0.021008369014296,0.906749803980347,,,,
FRANCE_8,0.022133371752908,0.680158497008961,,,,
FRANCE_9,0.019330114805778,0.79513057298027,,,,
FRANCE_0,0.028229143948444,0.698436375998426,,,,
GERMANY_1,0.223777949605929,0.881912293029018,0.221685786002009,0.013418710568027,,
GERMANY_2,0.210140688965841,0.710432641033549,,,,
GERMANY_3,0.220294277866735,0.773845207004342,,,,
GERMANY_4,0.208977095581197,0.638533929013647,,,,
GERMANY_5,0.242722968331042,0.845986262022052,,,,
GERMANY_6,0.202896655529721,0.738020314020105,,,,
GERMANY_7,0.237470117066084,0.66751248302171,,,,
GERMANY_8,0.228873079791847,0.828015164006501,,,,
GERMANY_9,0.210324998039186,0.849097606958821,,,,
GERMANY_0,0.23138002924251,0.912192712014075,,,,
GREECE_1,0.175201419425773,0.662215490010567,0.213540834427222,0.043231527727039,,
GREECE_2,0.203358536894086,0.809610155003611,,,,
GREECE_3,0.210142400090086,1.05048272799468,,,,
GREECE_4,0.204425288426365,0.916145827039145,,,,
GREECE_5,0.221509910782226,1.01264279603492,,,,
GREECE_6,0.150391642631953,0.805814134015236,,,,
GREECE_7,0.242453184333227,0.943820793996565,,,,
GREECE_8,0.180352279432642,0.715649702004157,,,,
GREECE_9,0.304645867661124,0.732164451968856,,,,
GREECE_0,0.242927814594733,0.721544364001602,,,,
IRELAND_1,0.5154772216152,0.902268364967313,0.589727448181382,0.03565274201936,,
IRELAND_2,0.64570281066268,0.858179615053814,,,,
IRELAND_3,0.591174048304847,0.705236837035045,,,,
IRELAND_4,0.561416574938496,0.753866308950819,,,,
IRELAND_5,0.609820824254811,1.20330091705546,,,,
IRELAND_6,0.61220886525775,0.949375652009621,,,,
IRELAND_7,0.597309190745244,0.893564900034107,,,,
IRELAND_8,0.613218685264114,1.2237499190378,,,,
IRELAND_9,0.56976014043592,0.864892217970919,,,,
IRELAND_0,0.581186120334758,0.979620776022784,,,,
ITALY_1,0.187818699496425,1.31189166603144,0.155645984785872,0.02659468076276,,
ITALY_2,0.152882513822663,0.984978697029874,,,,
ITALY_3,0.154620614193267,0.962100384000223,,,,
ITALY_4,0.146848803663592,1.04535300395219,,,,
ITALY_5,0.122231207888825,1.11376317904796,,,,
ITALY_6,0.176638070927337,0.705865718016867,,,,
ITALY_7,0.193781279864938,0.883012462989427,,,,
ITALY_8,0.127899034168065,1.21959351201076,,,,
ITALY_9,0.121287788304152,0.993977859965526,,,,
ITALY_0,0.172451835529455,1.00186343997484,,,,
JAPAN_1,0.185573907636353,0.905884530977346,0.153759620382436,0.026628588584288,,
JAPAN_2,0.130451122049392,0.891070469981059,,,,
JAPAN_3,0.155369724917102,0.823740640014876,,,,
JAPAN_4,0.121268253890854,0.894281478016637,,,,
JAPAN_5,0.136825749389844,1.08826772402972,,,,
JAPAN_6,0.192322199053916,0.822992418019567,,,,
JAPAN_7,0.123147734898645,0.794380556966644,,,,
JAPAN_8,0.14262104063874,0.703950374037959,,,,
JAPAN_9,0.1788830268274,0.915237626002636,,,,
JAPAN_0,0.171133444522111,1.19575595197966,,,,
NETHERLA_1,0.055353537201095,1.23143987602089,0.045371461391989,0.007373737716257,,
