[fit LOOCV KRR]: 0.008999348006909713, Target Domain: GERMANY_1, 'AugKRR_MSE': 0.06768383020546961, 'AugKRR_selectedgamma': 1.7207222657912051, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.0056106330011971295, Target Domain: GERMANY_2, 'AugKRR_MSE': 0.04774561967039671, 'AugKRR_selectedgamma': 1.0246384648491647, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.005690745005267672, Target Domain: GERMANY_3, 'AugKRR_MSE': 0.050912615818023414, 'AugKRR_selectedgamma': 1.4585482506736247, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.005952728010015562, Target Domain: GERMANY_4, 'AugKRR_MSE': 0.05974651906005276, 'AugKRR_selectedgamma': 1.4585482506736247, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0056955619947984815, Target Domain: GERMANY_5, 'AugKRR_MSE': 0.059989910334279466, 'AugKRR_selectedgamma': 0.9339165360134184, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.00558334999368526, Target Domain: GERMANY_6, 'AugKRR_MSE': 0.1935399160328531, 'AugKRR_selectedgamma': 5.318622670387361, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.0053716489928774536, Target Domain: GERMANY_7, 'AugKRR_MSE': 0.24343209322009918, 'AugKRR_selectedgamma': 3.1211673182578124, 'AugKRR_selectedbest_alpha': 1.0}
[fit LOOCV KRR]: 0.012156199998571537, Target Domain: GERMANY_8, 'AugKRR_MSE': 0.06326549703489545, 'AugKRR_selectedgamma': 0.9122962794900737, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.005878448995645158, Target Domain: GERMANY_9, 'AugKRR_MSE': 0.25759521185024625, 'AugKRR_selectedgamma': 3.190196841699332, 'AugKRR_selectedbest_alpha': 2.0}
[fit LOOCV KRR]: 0.006142154001281597, Target Domain: GERMANY_0, 'AugKRR_MSE': 0.05903788457463878, 'AugKRR_selectedgamma': 1.9172894423099083, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0059010519908042625, Target Domain: GREECE_1, 'AugKRR_MSE': 0.04657034008474627, 'AugKRR_selectedgamma': 0.3897446636682795, 'AugKRR_selectedbest_alpha': 2.0}
[fit LOOCV KRR]: 0.013357887000893243, Target Domain: GREECE_2, 'AugKRR_MSE': 0.04384383752382119, 'AugKRR_selectedgamma': 0.3183035887704592, 'AugKRR_selectedbest_alpha': 32.0}
